Kizomba vs. Salsa,1,82,latin,33,182
Carnaval,1,313,latin,52,235
Latin Night,1,79,latin,8,58
Motown Mondays,0,12,electronic,7,17
Puerto Rican dance night,1,277,latin,87,264
L Balke - Stone Parachutes - Vallures,0,96,rock,110,243
Master Key - Wife Patrol - K Hogan,0,92,rock,110,243
KiWi - D Autumn - Lemondoza - Mad Pritch,0,105,electronic,110,243
Latin Night 9-24,0,129,latin,18,58
Freak Heat Waves at Pioneer,0,0,rock,19,47
Handgrenades at Virginia Avenue Music Fest May 11,1,0,rock,2,11
"Borracho Caddies EP Release w/ The Trees, Robin Goodfellow",1,0,rock,11,20
Sarah Shook & the Disarmers w/ Shady Mayor,0,0,rock,16,15
The Happy Fits - Spring Tour 2018 - Indianapolis,0,0,rock,12,23
Naptown Soul Club : April Edition,1,0,electronic,10,34
Yamantaka // Sonic Titan ‹› Spandrels ‹› duchess,1,0,rock,18,54
ByBye / Minor Moon / Vess Rhutenberg,0,0,other,5,33
Palm Wine Discotheque : featuring Mariah Ivey,1,0,electronic,36,118
hakk.haus takeover,1,0,electronic,23,59
"Ian Chang (of Son Lux) / Us, Today / gnz",0,0,electronic,32,79
Cloakroom / Sweet Cobra / Jaye Jayle at Pioneer,0,0,rock,52,135
Faith Healer / Hales Corner / Elle Barbara's Black Space,1,0,rock,26,65
In Tall Buildings w/ Saint Aubin : First Friday at Pioneer,1,0,rock,41,100
"Oh, Rose // Touch Ki // Wes",0,0,rock,53,72
Spellbound DJ Dance Night: March 2018 Edition,1,0,electronic,105,319
Acid Dad / Chives / ABC Gum,1,0,rock,45,135
False Ragu VII,0,0,other,11,16
Obtuse March : David Peck / Nagasaki Dirt / FilterNetwork,1,0,electronic,20,56
Moonwalks / Uppers / Long H Sound,1,0,rock,27,87
Thelma & the Sleaze / Cairo Jag / the Craig Brown Band,0,0,rock,55,118
Naptown Soul Club : March Edition,1,0,electronic,7,76
High Up / Whispertown / Jake Bellows,1,0,rock,52,148
Heaven Honey / The Resource Network / Louie Louie,0,0,rock,43,102
Sweet Poison Victim w/ Laurel & the Love-In and DJ Kyle Long,1,0,electronic,30,116
BARK! Stand Up for Indy Humane,0,0,other,7,37
DJ Modest : Pint Night Spins,0,0,electronic,5,7
Square Peg Round Hole / Big Robot,1,0,rock,35,87
First Friday : Handgrenades / Tombaugh Regio / gnz,1,0,electronic,22,66
False Ragu VI - 'The Sixth One',0,0,other,2,5
Spellbound DJ Dance Night: February 2018 Edition,1,0,electronic,128,264
Wood Chickens // The Resource Network // Lucy Furr,1,0,rock,22,33
Uniiqu3 & Dai Burger : Nailz n Ponytailz Tour at Pioneer Indy,0,0,hiphop,18,24
Autoresponder : Pint Night Spins,0,0,electronic,9,9
Naptown Soul Club : February Edition,1,0,electronic,32,136
The Bridge: Cincinnati,1,0,hiphop,30,81
Sam O.B. / Switchblades / PeteyBoy,0,0,electronic,17,53
Obtuse Feb : Drew Siner / Kiddo / GNZ,1,0,electronic,28,43
Sweet Poison Victim w/ Pavel & Direct Contact & DJ Kyle Long,1,0,electronic,40,169
Sleeping Bag // Sad Baxter // Volunteer Department,0,0,rock,40,102
Fennec : Pint Night Spins,0,0,electronic,5,19
Cathy Morris String Duo,0,0,other,7,62
First Friday : Clint Breeze and the Groove,1,0,hiphop,83,362
False Ragu V - 'The Fifth One',0,0,other,9,25
EmiSunshine with Etta May at Pioneer,0,0,rock,38,164
Spellbound DJ Dance Night: January 2018 with VHS or Beta,1,0,electronic,104,264
Spandrels // Moira // Cherrys,1,0,rock,39,86
"Troy Davis, Patrick Trowbridge, Eric Brown",0,0,other,7,8
Obtuse presents : Moon King // Mk-II // D Strange,0,0,electronic,20,56
Naptown Soul Club : January Edition,1,0,electronic,41,210
Dam // Brandon Lott // DJ Dickie Foxxx,1,0,hiphop,21,44
D. Strange : Pint Night Spins,0,0,electronic,9,18
Sweet Poison Victim & DJ Kyle Long,1,0,electronic,25,164
Crescent Ulmer // Hales Corner // Duncan Kissinger,1,0,rock,32,107
Obtuse Jan : VV Torso / duchess / Linda,1,0,electronic,34,68
First Friday : Mathaius Young / Mula Kkhan / gnz,1,0,electronic,49,120
Drew Siner : Pint Night Spins,0,0,electronic,10,23
The Fountain Square NYE 2018 * Silent PARTY,0,0,electronic,70,331
Spellbound DJ Dance Night: December 2017 Edition!,1,0,electronic,87,279
IBLD Presents Gwen Sunkel and Luke Basile,1,0,other,8,23
False Ragu IV - 'The Fourth One',0,0,other,11,31
Naptown Soul Club : December Edition,1,0,electronic,49,223
"Obtuse Dec : Cairo Jag, Mememormee, drake strange",1,0,electronic,25,62
Matthew Milia (of Frontier Ruckus) w/ Peter Oren & Caleb McCoach,0,0,other,23,47
Sweet Poison Victim / ¡ESSO Afrojam Funkbeat / DJ Kyle Long,1,159,electronic,56,228
Benny Sanders Artist Reception Feat. Wax Fang & Pravada,1,37,other,45,154
hakk.haus takeover at Pioneer,1,129,electronic,61,150
Pandemonium : Mayhem & Debauchery First Friday DJ Night,1,187,electronic,50,113
IBLD Presents Mike Ball,0,0,other,5,12
Sunday Swap Meet : Pioneer,0,0,other,19,115
Spellbound DJ Dance Night - November Edition,1,228,electronic,93,268
DJ Little Town : Pint Night Spins,0,52,electronic,14,78
Naptown Soul Club : November Edition,1,0,electronic,19,126
Game Night at Pioneer : Pint Night Spins,0,0,other,4,61
Sweet Poison Victim / JSPB cassette release / DJ Kyle Long,1,125,electronic,59,146
Ian Ethan Case at Pioneer,0,9,other,5,44
Hen // Ohmme // Dove,0,11,electronic,29,75
Swan Laak / Dilettante / DJ Eade : Obtuse Nov.,1,104,electronic,19,43
"Droops Showcase feat. Paul Cherry, Bedforms, Joey Joey Michaels",1,196,rock,37,91
DJ Shawshank : Pint Night Spins,0,0,electronic,9,30
Sunday Swap Meet!,0,0,other,14,88
Spellbound DJ Dance Night - Halloween Edition,1,357,electronic,101,302
Sean Imboden Trio,1,0,other,0,17
